scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,13.88888888888889,0.0,0.0,0.0,0.0,8.127614379084985,-2.652173913043478,21.0,-4.0
1.0,13.88888888888889,10.0,0.0,0.0,0.0,8.069956850053956,-2.652173913043478,21.0,-4.0
1.0,13.88888888888889,20.0,0.0,0.0,0.0,6.4930873621713605,-2.9565217391304346,37.0,-4.0
1.0,13.88888888888889,30.0,0.0,0.0,0.0,7.369419862340233,-3.0476190476190474,15.0,-4.0
1.0,13.88888888888889,40.0,0.0,0.0,0.0,8.212651265126528,-3.0,25.0,-4.0
1.0,13.88888888888889,50.0,0.0,0.0,0.0,7.586616161616179,-2.9523809523809526,29.0,-4.0
1.0,13.88888888888889,800.0,0.0,0.0,0.0,9.254057428214749,-2.736842105263158,23.0,-4.0
2.0,13.88888888888889,0.0,0.0,0.0,0.0,6.914508723599655,-3.35,33.0,-4.0
2.0,13.88888888888889,10.0,0.0,0.0,0.0,7.2052681992337355,-3.3,31.0,-4.0
2.0,13.88888888888889,20.0,0.0,0.0,0.0,7.4692460317460485,-3.2,31.0,-4.0
2.0,13.88888888888889,30.0,0.0,0.0,0.0,7.764122533748725,-3.15,33.0,-4.0
2.0,13.88888888888889,40.0,0.0,0.0,0.0,8.235423542354255,-3.1052631578947367,29.0,-4.0
2.0,13.88888888888889,50.0,0.0,0.0,0.0,7.926031746031765,-3.3157894736842106,31.0,-4.0
3.0,13.88888888888889,0.0,0.0,0.0,0.0,8.307888888888911,-3.6470588235294117,41.0,-4.0
3.0,13.88888888888889,10.0,0.0,0.0,0.0,8.730994152046806,-3.625,41.0,-4.0
3.0,13.88888888888889,20.0,0.0,0.0,0.0,8.914695340501812,-3.5,35.0,-4.0
3.0,13.88888888888889,30.0,0.0,0.0,0.0,8.89426523297493,-3.5,35.0,-4.0
3.0,13.88888888888889,40.0,0.0,0.0,0.0,8.705204678362593,-3.5294117647058822,35.0,-4.0
3.0,13.88888888888889,50.0,0.0,1.0,0.0,8.916188769414589,-5.865384615384615,47.0,-10.0
4.0,13.88888888888889,0.0,0.0,0.0,0.0,8.891039426523317,-3.4375,35.0,-4.0
4.0,13.88888888888889,10.0,0.0,0.0,0.0,8.485317460317482,-3.210526315789474,37.0,-4.0
4.0,13.88888888888889,20.0,0.0,1.0,0.0,7.8050838574423675,-6.26530612244898,45.0,-10.0
4.0,13.88888888888889,30.0,0.0,1.0,0.0,7.18826086956523,-6.019230769230769,50.0,-10.0
4.0,13.88888888888889,40.0,0.0,1.0,0.0,8.196314631463146,-6.16,41.0,-10.0
4.0,13.88888888888889,50.0,0.0,1.0,0.0,8.265277777777799,-6.760869565217392,50.0,-10.0
9.0,13.88888888888889,-100.0,0.0,0.0,0.0,13.395446265938087,-1.9047619047619047,121.0,-4.0
9.0,13.88888888888889,200.0,0.0,0.0,0.0,11.871497584541075,-2.4705882352941178,82.0,-4.0
