scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,13.88888888888889,0.0,1.0,1.0,11.838888888888885,13.775555555555563,-4.25,10.0,-10.0
1.0,13.88888888888889,10.0,1.0,1.0,7.238888888888891,13.261469534050198,-7.15,16.0,-10.0
1.0,13.88888888888889,20.0,0.0,1.0,0.0,12.14109477124184,-5.581818181818182,28.0,-10.0
1.0,13.88888888888889,30.0,0.0,1.0,0.0,8.343939393939387,-5.788461538461538,28.0,-10.0
1.0,13.88888888888889,40.0,0.0,1.0,0.0,7.3093903638151465,-8.0,24.0,-10.0
1.0,13.88888888888889,50.0,0.0,1.0,0.0,8.349270482603808,-4.919354838709677,31.0,-10.0
1.0,13.88888888888889,800.0,0.0,0.0,0.0,13.888888888888905,0.0,0.0,0.0
2.0,13.88888888888889,0.0,0.0,0.0,0.0,6.1601575456053235,-2.8260869565217392,51.0,-4.0
2.0,13.88888888888889,10.0,0.0,0.0,0.0,6.455295138888893,-2.8636363636363638,37.0,-4.0
2.0,13.88888888888889,20.0,0.0,0.0,0.0,6.6990514905149245,-3.210526315789474,47.0,-4.0
2.0,13.88888888888889,30.0,0.0,0.0,0.0,6.653405017921166,-3.210526315789474,53.0,-4.0
2.0,13.88888888888889,40.0,0.0,0.0,0.0,6.889722222222242,-3.3333333333333335,53.0,-4.0
2.0,13.88888888888889,50.0,0.0,0.0,0.0,6.703929539295414,-3.05,35.0,-4.0
3.0,13.88888888888889,0.0,0.0,0.0,0.0,6.297667514843094,-3.0952380952380953,51.0,-4.0
3.0,13.88888888888889,10.0,0.0,0.0,0.0,6.4545138888889,-3.35,49.0,-4.0
3.0,13.88888888888889,20.0,0.0,1.0,0.0,7.518080808080806,-6.488372093023256,35.0,-10.0
3.0,13.88888888888889,30.0,0.0,0.0,0.0,6.927124183006553,-3.0,35.0,-4.0
3.0,13.88888888888889,40.0,0.0,0.0,0.0,7.131130268199246,-3.3333333333333335,31.0,-4.0
3.0,13.88888888888889,50.0,0.0,1.0,0.0,9.292883895131073,-6.108695652173913,37.0,-10.0
4.0,13.88888888888889,0.0,0.0,1.0,0.0,6.834527089072554,-4.762711864406779,26.0,-10.0
4.0,13.88888888888889,10.0,0.0,0.0,0.0,9.370707070707082,-4.0,9.0,-4.0
4.0,13.88888888888889,20.0,0.0,0.0,0.0,8.10506535947714,-3.8,15.0,-4.0
4.0,13.88888888888889,30.0,0.0,0.0,0.0,8.10506535947714,-3.8,15.0,-4.0
4.0,13.88888888888889,40.0,0.0,0.0,0.0,8.10506535947714,-3.8,15.0,-4.0
4.0,13.88888888888889,50.0,0.0,0.0,0.0,7.450600600600619,-3.411764705882353,23.0,-4.0
9.0,13.88888888888889,-100.0,0.0,0.0,0.0,13.745555555555558,-1.0,16.0,-1.0
9.0,13.88888888888889,200.0,0.0,0.0,0.0,12.593504273504282,-2.8333333333333335,20.0,-4.0
