scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,13.88888888888889,0.0,1.0,1.0,3.838888888888903,12.288142620232195,-5.309523809523809,25.0,-10.0
1.0,13.88888888888889,10.0,1.0,1.0,7.938888888888908,12.868576388888892,-4.393939393939394,28.0,-10.0
1.0,13.88888888888889,20.0,0.0,1.0,0.0,8.104193899782144,-4.529411764705882,41.0,-10.0
1.0,13.88888888888889,30.0,0.0,1.0,0.0,8.186688668866896,-4.347222222222222,37.0,-10.0
1.0,13.88888888888889,40.0,0.0,1.0,0.0,8.186688668866896,-4.765625,37.0,-10.0
1.0,13.88888888888889,50.0,0.0,1.0,0.0,8.887455197132613,-4.6,37.0,-10.0
1.0,13.88888888888889,800.0,0.0,0.0,0.0,13.382331511839718,-2.0,12.0,-2.0
2.0,13.88888888888889,0.0,0.0,0.0,0.0,6.402067183462551,-3.4,69.0,-4.0
2.0,13.88888888888889,10.0,0.0,0.0,0.0,6.066830065359495,-2.75,49.0,-4.0
2.0,13.88888888888889,20.0,0.0,0.0,0.0,6.652598566308249,-3.2,41.0,-4.0
2.0,13.88888888888889,30.0,0.0,0.0,0.0,6.554365079365098,-3.05,43.0,-4.0
2.0,13.88888888888889,40.0,0.0,0.0,0.0,6.409819121447031,-2.909090909090909,39.0,-4.0
2.0,13.88888888888889,50.0,0.0,0.0,0.0,6.594488888888909,-3.05,35.0,-4.0
3.0,13.88888888888889,0.0,0.0,0.0,0.0,6.815335169880645,-3.1052631578947367,49.0,-4.0
3.0,13.88888888888889,10.0,0.0,0.0,0.0,6.885555555555573,-3.1578947368421053,41.0,-4.0
3.0,13.88888888888889,20.0,0.0,0.0,0.0,6.822773186409569,-3.1578947368421053,29.0,-4.0
3.0,13.88888888888889,30.0,0.0,0.0,0.0,6.88055555555556,-2.857142857142857,33.0,-4.0
3.0,13.88888888888889,40.0,0.0,0.0,0.0,6.759790528233166,-3.210526315789474,35.0,-4.0
3.0,13.88888888888889,50.0,0.0,0.0,0.0,7.110440613026839,-3.1052631578947367,39.0,-4.0
4.0,13.88888888888889,0.0,0.0,1.0,0.0,6.772768670309658,-4.864406779661017,26.0,-10.0
4.0,13.88888888888889,10.0,0.0,1.0,0.0,6.772768670309658,-4.864406779661017,26.0,-10.0
4.0,13.88888888888889,20.0,0.0,0.0,0.0,7.791247379454942,-3.8125,25.0,-4.0
4.0,13.88888888888889,30.0,0.0,0.0,0.0,8.10506535947714,-3.8,15.0,-4.0
4.0,13.88888888888889,40.0,0.0,0.0,0.0,8.343939393939408,-4.0,19.0,-4.0
4.0,13.88888888888889,50.0,0.0,0.0,0.0,7.451501501501519,-3.625,29.0,-4.0
9.0,13.88888888888889,-100.0,0.0,0.0,0.0,13.745555555555558,-1.0,16.0,-1.0
9.0,13.88888888888889,200.0,0.0,0.0,0.0,12.256799336650097,-3.142857142857143,26.0,-4.0
