scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,13.88888888888889,0.0,1.0,0.0,12.088888888888881,13.44183006535947,-2.375,34.0,-4.0
1.0,13.88888888888889,10.0,1.0,0.0,13.688888888888883,13.571241830065352,-1.7142857142857142,34.0,-2.0
1.0,13.88888888888889,20.0,1.0,0.0,13.688888888888883,13.571241830065352,-1.7142857142857142,34.0,-2.0
1.0,13.88888888888889,30.0,1.0,0.0,13.688888888888883,13.571241830065352,-1.7142857142857142,34.0,-2.0
1.0,13.88888888888889,40.0,1.0,0.0,12.088888888888881,13.335947712418296,-2.4285714285714284,42.0,-4.0
1.0,13.88888888888889,50.0,1.0,0.0,11.488888888888882,13.253594771241826,-2.375,38.0,-4.0
1.0,13.88888888888889,800.0,0.0,0.0,0.0,13.571241830065352,-1.9047619047619047,121.0,-2.0
2.0,13.88888888888889,0.0,0.0,0.0,0.0,6.700317460317454,-3.3333333333333335,33.0,-4.0
2.0,13.88888888888889,10.0,0.0,0.0,0.0,7.088888888888886,-3.238095238095238,25.0,-4.0
2.0,13.88888888888889,20.0,0.0,0.0,0.0,7.964750957854401,-3.5555555555555554,43.0,-4.0
2.0,13.88888888888889,30.0,0.0,0.0,0.0,8.592592592592585,-3.2777777777777777,37.0,-4.0
2.0,13.88888888888889,40.0,0.0,0.0,0.0,7.058585858585853,-3.45,31.0,-4.0
2.0,13.88888888888889,50.0,0.0,0.0,0.0,8.850427350427342,-3.411764705882353,35.0,-4.0
3.0,13.88888888888889,0.0,0.0,0.0,0.0,8.8042735042735,-3.5294117647058822,45.0,-4.0
3.0,13.88888888888889,10.0,0.0,0.0,0.0,8.29603174603174,-3.3684210526315788,31.0,-4.0
3.0,13.88888888888889,20.0,0.0,0.0,0.0,8.019923371647502,-3.3684210526315788,41.0,-4.0
3.0,13.88888888888889,30.0,0.0,0.0,0.0,9.572222222222216,-3.466666666666667,29.0,-4.0
3.0,13.88888888888889,40.0,0.0,0.0,0.0,12.655555555555553,-2.1052631578947367,97.0,-4.0
3.0,13.88888888888889,50.0,0.0,0.0,0.0,9.224888888888882,-3.375,35.0,-4.0
4.0,13.88888888888889,0.0,0.0,0.0,0.0,9.572222222222218,-3.1875,25.0,-4.0
4.0,13.88888888888889,10.0,0.0,0.0,0.0,8.911965811965807,-3.3529411764705883,31.0,-4.0
4.0,13.88888888888889,20.0,1.0,0.0,12.088888888888881,13.253594771241824,-2.375,36.0,-4.0
4.0,13.88888888888889,30.0,1.0,0.0,11.088888888888881,13.19477124183006,-2.625,38.0,-4.0
4.0,13.88888888888889,40.0,1.0,0.0,12.088888888888881,13.288888888888884,-2.4285714285714284,39.0,-4.0
4.0,13.88888888888889,50.0,1.0,0.0,12.088888888888881,13.288888888888884,-2.4285714285714284,39.0,-4.0
9.0,13.88888888888889,-100.0,0.0,0.0,0.0,13.512418300653591,-1.7727272727272727,113.0,-2.0
9.0,13.88888888888889,200.0,0.0,0.0,0.0,13.265359477124177,-2.1,116.0,-4.0
