scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,13.88888888888889,0.0,1.0,0.0,13.688888888888886,13.571241830065361,-1.6,22.0,-2.0
1.0,13.88888888888889,10.0,1.0,0.0,13.688888888888886,13.571241830065361,-1.6,22.0,-2.0
1.0,13.88888888888889,20.0,1.0,0.0,13.688888888888886,13.571241830065361,-1.6,22.0,-2.0
1.0,13.88888888888889,30.0,1.0,0.0,13.688888888888886,13.571241830065361,-1.6,22.0,-2.0
1.0,13.88888888888889,40.0,1.0,0.0,13.688888888888886,13.571241830065361,-1.6,22.0,-2.0
1.0,13.88888888888889,50.0,1.0,0.0,11.288888888888884,13.065359477124183,-2.8333333333333335,22.0,-4.0
1.0,13.88888888888889,800.0,0.0,0.0,0.0,13.571241830065361,-1.894736842105263,109.0,-2.0
2.0,13.88888888888889,0.0,0.0,0.0,0.0,6.603174603174596,-3.0,49.0,-4.0
2.0,13.88888888888889,10.0,0.0,0.0,0.0,6.09415204678362,-2.76,45.0,-4.0
2.0,13.88888888888889,20.0,0.0,0.0,0.0,6.229429429429423,-3.2857142857142856,45.0,-4.0
2.0,13.88888888888889,30.0,0.0,0.0,0.0,7.501792114695338,-3.3,53.0,-4.0
2.0,13.88888888888889,40.0,0.0,0.0,0.0,7.2263888888888825,-3.3,55.0,-4.0
2.0,13.88888888888889,50.0,0.0,0.0,0.0,7.7088888888888825,-3.0476190476190474,43.0,-4.0
3.0,13.88888888888889,0.0,0.0,0.0,0.0,9.120888888888883,-3.125,37.0,-4.0
3.0,13.88888888888889,10.0,0.0,0.0,0.0,8.203174603174597,-3.5555555555555554,45.0,-4.0
3.0,13.88888888888889,20.0,0.0,0.0,0.0,7.99923371647509,-3.5555555555555554,39.0,-4.0
3.0,13.88888888888889,30.0,0.0,0.0,0.0,7.469534050179208,-3.3684210526315788,47.0,-4.0
3.0,13.88888888888889,40.0,0.0,0.0,0.0,8.548148148148146,-3.2222222222222223,53.0,-4.0
3.0,13.88888888888889,50.0,0.0,0.0,0.0,7.99923371647509,-3.5555555555555554,39.0,-4.0
4.0,13.88888888888889,0.0,0.0,0.0,0.0,8.013026819923365,-3.473684210526316,35.0,-4.0
4.0,13.88888888888889,10.0,0.0,0.0,0.0,7.728888888888883,-3.4,51.0,-4.0
4.0,13.88888888888889,20.0,0.0,0.0,0.0,6.666031746031739,-3.4285714285714284,35.0,-4.0
4.0,13.88888888888889,30.0,1.0,0.0,13.288888888888883,13.38300653594771,-2.0,32.0,-4.0
4.0,13.88888888888889,40.0,1.0,0.0,11.688888888888883,13.159477124183002,-2.25,37.0,-4.0
4.0,13.88888888888889,50.0,0.0,0.0,0.0,8.153174603174596,-3.388888888888889,33.0,-4.0
9.0,13.88888888888889,-100.0,0.0,0.0,0.0,8.518518518518512,-3.5,35.0,-4.0
9.0,13.88888888888889,200.0,0.0,0.0,0.0,10.698412698412694,-2.625,56.0,-4.0
