scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,13.88888888888889,0.0,0.0,0.0,0.0,6.506031746031742,-2.4827586206896552,30.0,-4.0
1.0,13.88888888888889,10.0,0.0,0.0,0.0,6.788888888888885,-2.3870967741935485,34.0,-4.0
1.0,13.88888888888889,20.0,0.0,0.0,0.0,6.534603174603172,-2.3548387096774195,34.0,-4.0
1.0,13.88888888888889,30.0,0.0,0.0,0.0,6.534603174603172,-2.3548387096774195,34.0,-4.0
1.0,13.88888888888889,40.0,0.0,0.0,0.0,6.534603174603172,-2.3548387096774195,34.0,-4.0
1.0,13.88888888888889,50.0,0.0,0.0,0.0,6.38333333333333,-2.3870967741935485,40.0,-4.0
1.0,13.88888888888889,800.0,0.0,0.0,0.0,7.702222222222219,-2.3666666666666667,18.0,-4.0
2.0,13.88888888888889,0.0,0.0,0.0,0.0,7.530268199233714,-2.5,20.0,-4.0
2.0,13.88888888888889,10.0,0.0,0.0,0.0,7.731746031746029,-2.5925925925925926,12.0,-4.0
2.0,13.88888888888889,20.0,0.0,0.0,0.0,7.530268199233714,-2.5,20.0,-4.0
2.0,13.88888888888889,30.0,0.0,0.0,0.0,7.342222222222219,-2.4482758620689653,18.0,-4.0
2.0,13.88888888888889,40.0,0.0,0.0,0.0,7.731746031746029,-2.5925925925925926,12.0,-4.0
2.0,13.88888888888889,50.0,0.0,0.0,0.0,7.15985663082437,-2.3666666666666667,18.0,-4.0
3.0,13.88888888888889,0.0,0.0,0.0,0.0,7.530268199233714,-2.5,20.0,-4.0
3.0,13.88888888888889,10.0,0.0,0.0,0.0,7.15985663082437,-2.3666666666666667,18.0,-4.0
3.0,13.88888888888889,20.0,0.0,0.0,0.0,7.557854406130265,-2.5,16.0,-4.0
3.0,13.88888888888889,30.0,0.0,0.0,0.0,7.731746031746029,-2.5925925925925926,12.0,-4.0
3.0,13.88888888888889,40.0,0.0,0.0,0.0,7.3955555555555526,-2.413793103448276,12.0,-4.0
3.0,13.88888888888889,50.0,0.0,0.0,0.0,7.447509578544059,-2.5,12.0,-4.0
4.0,13.88888888888889,0.0,0.0,0.0,0.0,7.571647509578542,-2.5,16.0,-4.0
4.0,13.88888888888889,10.0,0.0,0.0,0.0,7.571647509578542,-2.5,16.0,-4.0
4.0,13.88888888888889,20.0,0.0,0.0,0.0,7.557854406130265,-2.5,16.0,-4.0
4.0,13.88888888888889,30.0,0.0,0.0,0.0,7.571647509578542,-2.5,16.0,-4.0
4.0,13.88888888888889,40.0,0.0,0.0,0.0,7.571647509578542,-2.5,16.0,-4.0
4.0,13.88888888888889,50.0,0.0,0.0,0.0,7.571647509578542,-2.5,16.0,-4.0
9.0,13.88888888888889,-100.0,1.0,0.0,1.6888888888888842,7.188888888888886,-2.5,34.0,-4.0
9.0,13.88888888888889,200.0,0.0,0.0,0.0,10.746031746031742,-2.0,8.0,-2.0
