scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,13.88888888888889,0.0,1.0,0.0,12.488888888888882,13.347712418300649,-2.142857142857143,33.0,-4.0
1.0,13.88888888888889,10.0,1.0,0.0,10.888888888888882,12.655555555555551,-2.857142857142857,26.0,-4.0
1.0,13.88888888888889,20.0,1.0,0.0,11.688888888888883,13.23006535947712,-2.111111111111111,31.0,-4.0
1.0,13.88888888888889,30.0,1.0,0.0,10.688888888888883,12.644444444444439,-2.625,28.0,-4.0
1.0,13.88888888888889,40.0,1.0,0.0,10.888888888888882,12.588888888888885,-2.857142857142857,26.0,-4.0
1.0,13.88888888888889,50.0,1.0,0.0,10.888888888888882,12.588888888888885,-2.857142857142857,26.0,-4.0
1.0,13.88888888888889,800.0,0.0,0.0,0.0,13.535947712418295,-2.0,122.0,-2.0
2.0,13.88888888888889,0.0,0.0,0.0,0.0,7.151388888888882,-3.3,59.0,-4.0
2.0,13.88888888888889,10.0,0.0,0.0,0.0,6.753594771241825,-2.9130434782608696,45.0,-4.0
2.0,13.88888888888889,20.0,0.0,0.0,0.0,7.220138888888882,-3.1904761904761907,63.0,-4.0
2.0,13.88888888888889,30.0,0.0,0.0,0.0,7.170138888888884,-3.0952380952380953,51.0,-4.0
2.0,13.88888888888889,40.0,0.0,0.0,0.0,6.794771241830061,-3.1904761904761907,53.0,-4.0
2.0,13.88888888888889,50.0,0.0,0.0,0.0,7.157638888888886,-3.0476190476190474,63.0,-4.0
3.0,13.88888888888889,0.0,0.0,0.0,0.0,7.69555555555555,-3.0,43.0,-4.0
3.0,13.88888888888889,10.0,0.0,0.0,0.0,7.379211469534046,-3.15,45.0,-4.0
3.0,13.88888888888889,20.0,0.0,0.0,0.0,7.170138888888882,-2.9130434782608696,59.0,-4.0
3.0,13.88888888888889,30.0,0.0,0.0,0.0,8.117460317460315,-3.411764705882353,51.0,-4.0
3.0,13.88888888888889,40.0,0.0,0.0,0.0,8.203174603174599,-3.111111111111111,43.0,-4.0
3.0,13.88888888888889,50.0,0.0,0.0,0.0,8.83504273504273,-3.25,41.0,-4.0
4.0,13.88888888888889,0.0,0.0,0.0,0.0,9.622222222222215,-3.625,27.0,-4.0
4.0,13.88888888888889,10.0,0.0,0.0,0.0,7.65555555555555,-3.473684210526316,35.0,-4.0
4.0,13.88888888888889,20.0,0.0,0.0,0.0,7.63555555555555,-3.3684210526315788,39.0,-4.0
4.0,13.88888888888889,30.0,0.0,0.0,0.0,7.937164750957849,-3.3157894736842106,35.0,-4.0
4.0,13.88888888888889,40.0,0.0,0.0,0.0,8.181746031746027,-3.5294117647058822,35.0,-4.0
4.0,13.88888888888889,50.0,0.0,0.0,0.0,7.61555555555555,-3.1,37.0,-4.0
9.0,13.88888888888889,-100.0,0.0,0.0,0.0,13.19477124183006,-2.210526315789474,111.0,-4.0
9.0,13.88888888888889,200.0,0.0,0.0,0.0,12.078362573099408,-2.2222222222222223,87.0,-4.0
