scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,13.88888888888889,0.0,1.0,0.0,13.088888888888887,13.477124183006534,-1.6,13.0,-2.0
1.0,13.88888888888889,10.0,1.0,0.0,11.688888888888888,13.171241830065359,-1.8571428571428572,19.0,-4.0
1.0,13.88888888888889,20.0,1.0,0.0,11.688888888888888,13.171241830065359,-1.8571428571428572,19.0,-4.0
1.0,13.88888888888889,30.0,1.0,0.0,10.688888888888886,12.57777777777778,-2.6666666666666665,12.0,-4.0
1.0,13.88888888888889,40.0,1.0,0.0,11.488888888888887,12.799999999999999,-2.3333333333333335,20.0,-4.0
1.0,13.88888888888889,50.0,1.0,0.0,10.888888888888888,12.633333333333333,-2.5,18.0,-4.0
1.0,13.88888888888889,800.0,0.0,0.0,0.0,13.5359477124183,-2.0,10.0,-2.0
2.0,13.88888888888889,0.0,0.0,0.0,0.0,6.955555555555553,-2.909090909090909,47.0,-4.0
2.0,13.88888888888889,10.0,0.0,0.0,0.0,6.771241830065356,-3.142857142857143,55.0,-4.0
2.0,13.88888888888889,20.0,0.0,0.0,0.0,7.182638888888886,-2.8181818181818183,43.0,-4.0
2.0,13.88888888888889,30.0,0.0,0.0,0.0,7.588888888888887,-3.3333333333333335,41.0,-4.0
2.0,13.88888888888889,40.0,0.0,0.0,0.0,7.359856630824371,-3.05,51.0,-4.0
2.0,13.88888888888889,50.0,0.0,0.0,0.0,7.675555555555554,-2.85,35.0,-4.0
3.0,13.88888888888889,0.0,0.0,0.0,0.0,7.170138888888887,-3.263157894736842,43.0,-4.0
3.0,13.88888888888889,10.0,0.0,0.0,0.0,7.207638888888886,-3.263157894736842,41.0,-4.0
3.0,13.88888888888889,20.0,0.0,0.0,0.0,8.146031746031744,-3.235294117647059,39.0,-4.0
3.0,13.88888888888889,30.0,0.0,0.0,0.0,7.170138888888887,-2.9523809523809526,39.0,-4.0
3.0,13.88888888888889,40.0,0.0,0.0,0.0,7.379211469534047,-3.210526315789474,41.0,-4.0
3.0,13.88888888888889,50.0,0.0,0.0,0.0,7.443727598566306,-3.3333333333333335,41.0,-4.0
4.0,13.88888888888889,0.0,0.0,0.0,0.0,8.819658119658117,-4.0,9.0,-4.0
4.0,13.88888888888889,10.0,0.0,0.0,0.0,8.819658119658117,-4.0,9.0,-4.0
4.0,13.88888888888889,20.0,0.0,0.0,0.0,8.217460317460315,-3.5625,15.0,-4.0
4.0,13.88888888888889,30.0,0.0,0.0,0.0,8.48148148148148,-3.7333333333333334,19.0,-4.0
4.0,13.88888888888889,40.0,0.0,0.0,0.0,8.23174603174603,-3.6,27.0,-4.0
4.0,13.88888888888889,50.0,0.0,0.0,0.0,8.735042735042734,-3.4285714285714284,17.0,-4.0
9.0,13.88888888888889,-100.0,0.0,0.0,0.0,13.70138888888889,-1.0,8.0,-1.0
9.0,13.88888888888889,200.0,0.0,0.0,0.0,11.762573099415205,-3.0,14.0,-4.0
